foodId,resId,title,originalTitle,price,restaurant,locationShort,tag,story,hasDetail,priority,listRank,imageLink,thumbnail,optionText,ddOnly,recommended,available,remark
10330001001,10330001,หมี่ฮ่องกงหมูมันน้อย,หมี่ฮ่องกงหมู,128,เหลาอาธีร์,สวนหลวงสแควร์,"ลดมัน, ใช้ไขมันดี, ลดโซเดียม",-,,,6,,lrt-mi-hk-pork-s.jpg,,,TRUE,,
10330001002,10330001,หมี่ฮ่องกงไก่มันน้อย,หมี่ฮ่องกงไก่,128,เหลาอาธีร์,สวนหลวงสแควร์,"ลดมัน, ใช้ไขมันดี, ลดโซเดียม",-,,,5,,lrt-mi-hk-chicken-s.jpg,,,TRUE,,
10330001003,10330001,หมี่ฮ่องกงกุ้งมันน้อย,หมี่ฮ่องกงกุ้ง,178,เหลาอาธีร์,สวนหลวงสแควร์,"ลดมัน, ใช้ไขมันดี, ลดโซเดียม",-,,,7,,lrt-mi-hk-shrimp-s.jpg,,,,,
10330001004,10330001,หมี่ฮ่องกงทะเลมันน้อย,หมี่ฮ่องกงทะเล,178,เหลาอาธีร์,สวนหลวงสแควร์,"ลดมัน, ใช้ไขมันดี, ลดโซเดียม",หมี่ฮ่องกงสูตรเพื่อสุขภาพ ผัดแบบมันน้อย หอมกลิ่นกระทะ รสชาติกลมกล่อมด้วยซอสสูตรพิเศษลดโซเดียม,TRUE,2,8,lrt-mi-hk-seafood.jpg,lrt-mi-hk-seafood-s.jpg,,,,,
10330001005,10330001,หมี่ฮ่องกงโคตรกุ้งมันน้อย,หมี่ฮ่องกงโคตรกุ้ง,258,เหลาอาธีร์,สวนหลวงสแควร์,"ลดมัน, ใช้ไขมันดี, ลดโซเดียม",-,,,9,,lrt-mi-hk-kod-shrimp-s.jpg,,,,,
10330001006,10330001,ข้าวผัดปูสูตรสุขภาพ,ข้าวผัดปู,178,เหลาอาธีร์,สวนหลวงสแควร์,"ลดมัน, ใช้ไขมันดี, ลดโซเดียม",ข้าวผัดแบบจีนโบราณ หาทานยาก ผัดแบบแห้งหอมกลิ่นกระทะ รสกลมกล่อมจนต้องลอง,TRUE,3,10,lrt-khaopad-crab.jpg,lrt-khaopad-crab-s.jpg,,,TRUE,,*พลังงาน 553 kcal ต่อจาน ผู้ป่วยเบาหวานหรือลดน้ำหนักควรแบ่งทาน 2 ท่าน
10330001007,10330001,ข้าวผัดโคตรปูสูตรสุขภาพ,ข้าวผัดโคตรปู,268,เหลาอาธีร์,สวนหลวงสแควร์,"ลดมัน, ใช้ไขมันดี, ลดโซเดียม",-,,,11,,lrt-khaopad-kod-crab-s.jpg,,,,,
10330001042,10330001,เคลคั่วไข่ไขมันดี,เคลคั่วไข่,168,เหลาอาธีร์,สวนหลวงสแควร์,"โลว์คาร์บ, โปรตีนสูง, ลดโซเดียม",-,,,16,,lrt-kale-new-s.jpg,,,TRUE,,
10330001043,10330001,คะน้าซอสฮ่องกงพรีเมียม,คะน้าซอสฮ่องกง,88,เหลาอาธีร์,สวนหลวงสแควร์,"ใช้ไขมันดี, ลดโซเดียม, ไฟเบอร์สูง",คะน้าฮ่องกงเกรดพรีเมียม ก้านโตปอกเปลือกหั่นพอดีคำ ผัดกับซอสสูตรสุขภาพ กรอบอร่อยทุกคำ,TRUE,1,17,lrt-khana.jpg,lrt-khana-s.jpg,,,TRUE,,
10330001044,10330001,กะหล่ำปลีคั่วน้ำปลา,กะหล่ำปลีคั่วน้ำปลา,88,เหลาอาธีร์,สวนหลวงสแควร์,"ใช้ไขมันดี, ลดโซเดียม",-,,,18,lrt-kalumpee.jpg,lrt-kalumpee-s.jpg,,,,,
